num_enhancers,r,g,AC,RC,ma,mr,noise
2,0.3,0.5,1,1,7,5,0.3006338234
21,2,2,0.2,0.6,0.2,0.2,0.5745704107
15,0.27744,0.44865,1.91,2.62,3.01,3,0.6758859958
2,0.9,0.3,1,1,7,5,0.2628014558
2,0.3,0.9,1,1,7,5,0.3232341203
2,0.1,0.3,1,7,9,5,0.3216756101
2,0.9,0.5,1,9,5,5,0.2894197571
10,0.1,0.1,6,1,1,5,0.5471493229
2,0.9,0.5,1,3,9,5,0.2761139626
10,0.6,0.1,1,1,6,5,0.05387344941
2,0.1,0.5,1,5,3,5,0.3532887108
2,0.1,0.1,1,3,9,5,0.2889921807
2,0.7,0.7,1,9,7,5,0.2958680588
15,0.16375,0.28609,1.23,1.43,10.48,4.88,0.2219243756
10,0.6,0.1,6,6,1,5,0.3820578575
2,0.1,0.3,1,5,9,5,0.3206161
10,0.73049,0.922,2.83,4.82,6.06,8.37,0.445746301
5,0.2,0.4,2,2,4,5,0.4537007549
2,0.7,0.9,1,1,3,5,0.313209303
2,0.7,0.7,1,3,3,5,0.3067939722
2,0.1,0.9,1,3,1,5,0.3171858488
2,0.1,0.3,1,3,1,5,0.352719245
2,0.7,0.5,1,7,5,5,0.2911611836
2,0.9,0.5,1,5,5,5,0.2851111373
2,0.7,0.1,1,1,7,5,0.2553238538
2,0.9,0.3,1,1,3,5,0.270897298
2,0.7,0.5,1,1,1,5,0.3206892147
2,0.3,0.1,1,5,1,5,0.3020851269
15,0.83433,0.54226,5.63,2.16,1.89,1.24,0.6237399649
10,0.65633,0.92386,4.13,8.55,2.69,6.64,0.7060875933
2,0.7,0.1,1,1,3,5,0.2578416262
2,0.7,0.9,1,9,9,5,0.2973398944
2,0.7,0.3,1,1,1,5,0.2996125374
2,0.7,0.3,1,9,5,5,0.2859983115
2,0.7,0.9,1,1,7,5,0.2920148318
2,0.1,0.7,1,3,1,5,0.3277852774
2,0.9,0.7,1,5,3,5,0.3014196805
2,0.7,0.7,1,1,7,5,0.2846605224
2,0.5,0.3,1,7,7,5,0.2844715013
10,0.40801,0.86859,10.98,3.41,6.37,4.69,0.7407469419
2,0.9,0.7,1,7,9,5,0.2870536309
2,0.3,0.9,1,7,1,5,0.35242984
2,0.3,0.9,1,3,3,5,0.3448071507
2,0.1,0.3,1,5,3,5,0.3454909311
2,0.1,0.3,1,7,1,5,0.3523871127
2,0.5,0.5,1,1,5,5,0.2911132228
21,0.1,0.1,1,1,1,100,0.5765176435
2,0.7,0.7,1,5,5,5,0.2987764268
15,0.5166,0.43189,10.8,5.79,1.7,4.47,0.7001656611
2,0.9,0.1,1,7,5,5,0.2750579768
2,0.3,0.9,1,5,3,5,0.3450062126
20,0.31318,0.70376,10.77,7.62,9.52,4.46,0.9073319084
2,0.5,0.1,1,7,9,5,0.2742523112
2,0.3,0.3,1,1,5,5,0.2911995728
2,0.1,0.9,1,5,1,5,0.3167969508
10,0.1,0.1,1,1,6,5,0.1214228399
2,0.1,0.9,1,9,5,5,0.352917401
15,0.67722,0.43123,1.57,5.48,4.39,10.34,0.2714000383
2,0.1,0.9,1,3,7,5,0.3532137733
2,0.7,0.3,1,9,3,5,0.2919766189
2,0.7,0.1,1,1,1,5,0.2697733852
2,0.5,0.9,1,1,7,5,0.3030315275
2,0.3,0.1,1,5,1,5,0.3025693778
2,0.5,0.5,1,9,5,5,0.2996017931
2,0.5,0.1,1,9,5,5,0.2771588185
2,0.1,0.3,1,1,1,5,0.353121703
2,0.9,0.7,1,7,5,5,0.2936169952
2,0.7,0.3,1,5,5,5,0.2822869936
20,0.8145,0.38052,8.46,9.92,2.63,8.9,0.7892043312
2,0.9,0.3,1,3,7,5,0.2701637446
15,0.1,0.1,1,1,1,5,0.6074051976
2,0.7,0.3,1,7,1,5,0.3116561366
2,0.3,0.5,1,7,5,5,0.3152146483
2,0.1,0.7,1,1,1,5,0.3287164224
2,0.7,0.3,1,9,1,5,0.3132006093
5,0.1,0.1,1,1,6,5,0.2106807175
2,0.7,0.7,1,7,5,5,0.3005048869
5,0.1,0.6,6,6,1,5,0.3733789225
2,0.7,0.5,1,5,3,5,0.2988691337
2,0.9,0.5,1,3,3,5,0.2898263186
2,0.7,0.9,1,7,7,5,0.3007077742
15,0.87147,0.16434,10.43,10.81,2.26,5.55,0.7717644686
15,0.1,0.1,6,1,6,5,0.2114788872
2,0.5,0.1,1,1,7,5,0.2570891644
5,0.653,0.62218,3.27,5.35,9.07,3.83,0.4565859212
15,0.6,0.6,1,1,1,5,0.6090360573
10,0.1,0.1,1,6,1,5,0.6628374763
2,0.9,0.3,1,9,1,5,0.3058830863
2,0.3,0.5,1,3,5,5,0.3127417765
2,0.9,0.1,1,3,3,5,0.2657390274
25,0.17002,0.96772,5.33,10.61,4.69,5.33,0.602234209
2,0.5,0.7,1,7,1,5,0.3470370276
10,0.1,0.1,1,1,6,5,0.1303172413
2,0.9,0.3,1,5,7,5,0.2753537912
2,0.1,0.7,1,3,9,5,0.3467330003
2,0.1,0.9,1,9,9,5,0.3516138989
25,0.52347,0.96196,1.48,3.59,4.37,1,0.9256527933
2,0.1,0.9,1,5,7,5,0.3533047863
2,0.5,0.5,1,3,1,5,0.3364567306
2,0.5,0.1,1,3,9,5,0.266157754
2,0.3,0.7,1,3,7,5,0.3170360132
2,0.7,0.3,1,9,9,5,0.27954162
2,0.7,0.7,1,3,1,5,0.3368748111
2,0.1,0.7,1,3,1,5,0.3284512445
2,0.5,0.7,1,7,9,5,0.2983468558
2,0.1,0.5,1,7,7,5,0.3429098991
2,0.3,0.7,1,5,3,5,0.3386148226
2,0.3,0.7,1,5,9,5,0.3128478668
2,0.7,0.5,1,1,3,5,0.2912224216
10,0.4,0.2,2,2,2,5,0.2238827557
2,0.5,0.7,1,7,5,5,0.3086377957
2,0.3,0.1,1,1,7,5,0.262796572
2,0.7,0.9,1,9,1,5,0.3456278055
2,0.53612,0.96812,3.06,3.56,4.06,4,0.341758756
2,0.9,0.9,1,9,9,5,0.2919104221
25,0.48568,0.13553,8.11,9.94,10.21,8.38,0.5606049218
2,0.9,0.1,1,7,9,5,0.2720343588
2,0.3,0.7,1,5,3,5,0.3377716152
2,0.9,0.5,1,9,7,5,0.2851134106
2,0.7,0.5,1,1,1,5,0.3206723617
2,0.1,0.9,1,7,7,5,0.3531816471
2,0.3,0.9,1,7,9,5,0.3217094517
2,0.9,0.9,1,3,3,5,0.3071917587
10,0.1,0.6,1,6,1,5,0.4296535489
10,0.4,0.2,4,4,2,5,0.5399856483
2,0.3,0.9,1,7,5,5,0.3341743001
2,0.1,0.7,1,5,5,5,0.3531539225
2,0.9,0.7,1,7,3,5,0.3034838291
2,0.9,0.5,1,9,1,5,0.3207587969
2,0.1,0.3,1,5,3,5,0.3455642107
20,0.10657,0.10245,3.38,4.85,4.11,2,0.6945410113
2,0.1,0.7,1,3,3,5,0.3515982357
2,0.5,0.3,1,1,5,5,0.2774862611
2,0.7,0.3,1,9,3,5,0.2906159593
2,0.1,0.9,1,7,3,5,0.3467499949
2,0.5,0.3,1,7,7,5,0.2837836981
5,0.2,0.4,4,2,4,5,0.5082962438
10,0.6,0.6,1,1,1,5,0.5682815221
2,0.7,0.7,1,7,1,5,0.3383730538
2,0.1,0.7,1,9,1,5,0.3271301766
2,0.9,0.1,1,5,7,5,0.2684403984
2,0.7,0.9,1,5,7,5,0.2994828915
2,0.9,0.7,1,7,7,5,0.2890093158
5,0.60396,0.38775,1.41,3.6,2.81,4,0.3523727636
5,0.4,0.4,2,4,4,5,0.4164740349
2,0.1,0.7,1,1,3,5,0.3524002569
15,0.6,0.1,1,6,6,5,0.2468950563
20,0.83562,0.1426,4.86,3.25,1.13,4,0.1339632855
2,0.7,0.3,1,1,9,5,0.2627009676
15,0.1,0.6,1,1,1,5,0.4492652301
2,0.3,0.5,1,7,9,5,0.3036402705
2,0.9,0.5,1,9,7,5,0.2848651032
2,0.7,0.3,1,9,9,5,0.2803153664
21,0.5,0.375,5,2.8,5.5,9,0.4264124348
2,0.9,0.1,1,5,1,5,0.279340475
2,0.5,0.5,1,1,9,5,0.2813625963
15,0.1,0.6,1,1,1,5,0.4292353009
2,0.5,0.5,1,9,3,5,0.3118743085
2,0.1,0.5,1,7,7,5,0.3437690269
5,0.1,0.6,6,6,1,5,0.3861647378
15,0.6,0.1,6,1,1,5,0.05477257639
15,0.4838,0.5499,4.45,3.36,4.28,2,0.7661358896
2,0.1,0.7,1,3,7,5,0.3503228801
2,0.9,0.5,1,5,9,5,0.2792613581
15,0.6,0.1,6,1,6,5,0.07241403291
25,0.72404,0.17736,1.29,2.12,4.1,3,0.0311013786
10,0.6,0.6,6,6,6,5,0.599449969
2,0.3,0.1,1,9,3,5,0.2858842405
2,0.3,0.1,1,5,9,5,0.2757312282
2,0.3,0.1,1,1,3,5,0.2699023021
15,0.4,0.4,2,2,4,5,0.3408072865
2,0.9,0.3,1,1,3,5,0.2716901276
2,0.5,0.5,1,3,3,5,0.3071789416
2,0.7,0.3,1,3,1,5,0.3066593093
2,0.1,0.5,1,7,3,5,0.3535255394
15,0.56374,0.45453,10.89,5.3,7.03,8.08,0.5975648252
2,0.5,0.1,1,1,1,5,0.2765445943
2,0.7,0.3,1,1,3,5,0.2772191309
2,0.3,0.1,1,9,9,5,0.2775186038
2,0.5,0.1,1,7,9,5,0.2737627461
2,0.1,0.1,1,5,5,5,0.297677347
2,0.3,0.3,1,9,3,5,0.3103303203
15,0.77612,0.3381,9.14,4.86,8.09,10.34,0.4601645747
2,0.5,0.9,1,3,5,5,0.3144812217
2,0.5,0.1,1,7,7,5,0.273541545
5,0.40844,0.77458,8.03,8.4,8.82,5.22,0.5723992731
2,0.1,0.3,1,7,9,5,0.3213611022
2,0.3,0.7,1,1,3,5,0.3344547007
2,0.5,0.1,1,5,3,5,0.2746992838
2,0.3,0.1,1,9,1,5,0.3072959759
2,0.9,0.1,1,9,5,5,0.2759163615
20,0.66744,0.17541,1.42,2.48,3.36,4,0.04933649237
25,0.51701,0.85785,3.94,1.35,2.01,2,0.8022125599
2,0.3,0.7,1,3,5,5,0.3253847575
2,0.9,0.9,1,3,3,5,0.3074133156
2,0.9,0.3,1,3,9,5,0.2688433444
2,0.5,0.1,1,3,1,5,0.28597443
2,0.7,0.5,1,7,3,5,0.3014981505
2,0.9,0.1,1,7,3,5,0.2757695227
2,0.9,0.3,1,1,1,5,0.2925030598
15,0.10687,0.42753,4.8,1.91,1.08,3,0.4666455768
2,0.3,0.3,1,9,1,5,0.3375325973
15,0.67429,0.5478,7.67,6.36,4.55,2.05,0.8881367269
2,0.5,0.7,1,9,7,5,0.3029534932
2,0.1,0.5,1,7,1,5,0.3408636981
2,0.1,0.1,1,5,1,5,0.3380394499
2,0.5,0.1,1,3,1,5,0.2837560837
2,0.9,0.7,1,5,3,5,0.3026088332
10,0.2,0.2,2,2,2,5,0.5496677207
2,0.1,0.1,1,1,7,5,0.2846962532
2,0.1,0.9,1,3,1,5,0.3163827339
2,0.77388,0.3869,5.61,10.52,8.57,6.87,0.3233618402
10,0.4,0.2,2,4,2,5,0.4753458695
5,0.72165,0.23471,10.61,1.19,7.36,4.52,0.2060005441
2,0.5,0.3,1,7,9,5,0.2820826292
5,0.4,0.2,4,4,2,5,0.4600976656
21,2,6,0.2,0.2,0.2,0.2,0.4921527013
2,0.5,0.5,1,1,7,5,0.2853675184
2,0.7,0.3,1,5,3,5,0.2878644142
15,0.2,0.4,4,2,2,5,0.699084341
2,0.7,0.9,1,7,9,5,0.2961102071
10,0.6,0.6,1,1,6,5,0.1236909807
2,0.3,0.3,1,7,5,5,0.2999635715
2,0.1,0.3,1,3,7,5,0.3263534532
10,0.65705,0.49184,8.61,5.19,5.8,6.31,0.6220890189
2,0.1,0.1,1,3,7,5,0.2909400524
2,0.3,0.5,1,7,9,5,0.3033492871
15,0.1,0.1,1,6,1,5,0.6498766237
5,0.1,0.1,1,1,1,5,0.4639113523
20,0.73715,0.33126,3.43,4.47,2.01,2.85,0.6669135721
2,0.5,0.1,1,1,9,5,0.2558700765
15,0.2,0.2,4,2,4,5,0.4067571454
2,0.7,0.3,1,7,1,5,0.3113871345
20,0.45121,0.3394,5.2,7.24,5.67,1.54,0.905280504
2,0.5,0.5,1,3,9,5,0.2869857016
2,0.3,0.7,1,1,3,5,0.3360681916
5,0.73352,0.13829,5.68,9.27,3.71,3.36,0.4855993189
2,0.9,0.1,1,9,9,5,0.2764222959
10,0.7802,0.54015,2.7,4,2.3,2,0.600052697
2,0.9,0.1,1,7,3,5,0.2754875928
2,0.5,0.1,1,7,1,5,0.293517322
2,0.5,0.9,1,3,9,5,0.3025923375
2,0.9,0.9,1,9,7,5,0.294896243
2,0.3,0.1,1,3,5,5,0.2732058742
2,0.1,0.1,1,3,1,5,0.3367177098
5,0.42989,0.61687,3.24,1.83,1.72,4,0.5096405626
5,0.6,0.6,1,6,1,5,0.5069677798
15,0.4305,0.28104,4.63,5.67,4.47,4.03,0.6421226637
2,0.3,0.9,1,3,9,5,0.3200022247
5,0.45596,0.36403,2.41,10.15,4.73,8.6,0.3976820619
2,0.9,0.7,1,7,1,5,0.3307558044
2,0.5,0.1,1,3,3,5,0.27164989
25,0.78112,0.9881,10.82,7.59,2.39,8.12,0.850353643
10,0.2,0.2,2,2,2,5,0.462508786
2,0.3,0.3,1,9,5,5,0.298520025
20,0.45873,0.43776,6.4,5.35,2.18,9.55,0.7363039711
2,0.7,0.3,1,3,9,5,0.2721166299
2,0.5,0.1,1,3,5,5,0.2676176649
2,0.1,0.3,1,3,5,5,0.3337835198
2,0.71078,0.90196,2.52,5.87,9.23,3.1,0.3305576414
2,0.51712,0.22074,1.95,1.47,3.88,1,0.3039775569
2,0.5,0.7,1,7,1,5,0.3469803789
2,0.7,0.7,1,7,1,5,0.3389764429
2,0.1,0.5,1,9,5,5,0.3491837267
2,0.7,0.9,1,5,9,5,0.2949733302
2,0.3,0.9,1,3,3,5,0.344980085
2,0.3,0.3,1,7,3,5,0.3098990006
2,0.5,0.7,1,5,5,5,0.3082506223
5,0.4,0.4,2,4,2,5,0.4725849026
2,0.5,0.9,1,7,7,5,0.3095494994
2,0.7,0.1,1,7,7,5,0.2729022688
2,0.9,0.5,1,7,3,5,0.2952196593
10,0.2,0.4,2,2,2,5,0.6260193245
2,0.9,0.1,1,5,3,5,0.2713177439
2,0.5,0.3,1,3,5,5,0.2829254921
2,0.5,0.9,1,5,1,5,0.3515476987
2,0.7,0.7,1,7,5,5,0.300285632
2,0.5,0.3,1,5,9,5,0.2802176989
2,0.9,0.7,1,3,3,5,0.2982486637
2,0.9,0.3,1,3,1,5,0.2993812784
2,0.5,0.7,1,5,5,5,0.3082186232
2,0.5,0.5,1,1,1,5,0.3331448553
5,0.39439,0.25072,3.67,5.01,7.89,2.48,0.4884651593
2,0.7,0.7,1,5,7,5,0.292374144
15,0.1,0.1,6,6,1,5,0.6194678177
2,0.5,0.1,1,3,1,5,0.2847828505
2,0.45297,0.8205,5.36,6.69,4.15,7.12,0.3441593846
2,0.7,0.1,1,9,1,5,0.2895009997
2,0.9,0.1,1,5,5,5,0.2696550966
2,0.5,0.3,1,5,3,5,0.2951257272
2,0.1,0.3,1,1,3,5,0.3430289589
2,0.3,0.3,1,9,5,5,0.3002331906
2,0.3,0.1,1,3,9,5,0.2699749704
2,0.5,0.7,1,9,1,5,0.3468792494
2,0.1,0.7,1,9,7,5,0.3509289077
2,0.3,0.5,1,5,9,5,0.301897438
5,0.6,0.6,6,6,1,5,0.5328720289
2,0.3,0.1,1,1,9,5,0.2611732412
2,0.3,0.7,1,9,5,5,0.3263235654
2,0.5,0.5,1,7,3,5,0.3108977471
2,0.7,0.9,1,5,9,5,0.2956170226
2,0.9,0.1,1,5,7,5,0.2676164921
21,0.5,0.375,10,2.8,5.5,3,0.749356229
2,0.9,0.9,1,9,1,5,0.339424093
5,0.14445,0.68115,1.6,1.32,3.35,1,0.5235633443
2,0.7,0.7,1,9,5,5,0.3018078179
2,0.3,0.3,1,7,1,5,0.3388015741
10,0.28136,0.40375,3.98,1.56,3.74,2,0.6037760517
10,0.54287,0.94497,8.29,2.37,4,3.54,0.7205714908
2,0.1,0.1,1,3,5,5,0.2962777248
20,0.20873,0.5122,1.52,2.35,2.69,2,0.6706239907
2,0.5,0.3,1,5,7,5,0.2823861852
10,0.6,0.1,1,6,1,5,0.2643672901
5,0.6,0.6,6,6,6,5,0.4975302055
2,0.5,0.9,1,7,7,5,0.3100322124
2,0.9,0.9,1,1,7,5,0.2843672014
2,0.5,0.7,1,3,5,5,0.306543365
2,0.1,0.3,1,9,3,5,0.3462117582
5,0.4,0.2,2,2,4,5,0.2548325935
10,0.1,0.1,6,6,1,5,0.6076860686
2,0.1,0.7,1,5,7,5,0.3505471469
2,0.3,0.7,1,5,1,5,0.353518324
2,0.3,0.7,1,1,9,5,0.3090272289
2,0.9,0.1,1,9,3,5,0.2800785066
2,0.9,0.9,1,1,9,5,0.2803622661
2,0.1,0.5,1,7,3,5,0.3533932587
5,0.78544,0.22985,6.66,4.29,8.41,5.45,0.383673318
2,0.9,0.3,1,5,9,5,0.2739549539
2,0.1,0.1,1,1,3,5,0.3021009636
2,0.7,0.1,1,7,7,5,0.2737035257
2,0.7,0.9,1,5,5,5,0.3055620956
2,0.5,0.3,1,3,3,5,0.291484761
2,0.7,0.9,1,9,7,5,0.3002059143
2,0.5,0.5,1,5,1,5,0.3378320105
5,0.1,0.1,6,6,6,5,0.5036863567
2,0.7,0.5,1,7,3,5,0.300902283
2,0.3,0.5,1,3,5,5,0.3136900895
2,0.7,0.1,1,9,9,5,0.2750196232
2,0.7,0.1,1,3,5,5,0.2646455779
2,0.1,0.1,1,9,9,5,0.29170714
2,0.9,0.3,1,3,1,5,0.3002085228
5,0.94733,0.52565,3.1,1.29,10.21,10.38,0.1815323426
2,0.5,0.7,1,9,5,5,0.308629361
5,0.17078,0.55407,5.51,2.45,10.03,2.6,0.5711213623
2,0.3,0.3,1,3,5,5,0.2959646376
2,0.7,0.3,1,3,5,5,0.276626772
2,0.1,0.3,1,1,9,5,0.3177699999
2,0.7,0.5,1,7,1,5,0.32778503
2,0.51689,0.30728,5.74,9.24,8.26,2.79,0.3390847749
20,0.87108,0.50993,5.41,2.45,2.95,3.63,0.5774823788
5,0.76537,0.6833,8.83,8.2,9.62,7.84,0.5154027615
2,0.7,0.1,1,5,5,5,0.2705206339
2,0.9,0.9,1,1,7,5,0.2841467813
2,0.1,0.7,1,9,7,5,0.3509962402
10,0.4,0.2,4,4,2,5,0.5790483848
5,0.46569,0.3216,2.07,4.67,3.59,4,0.4071336939
2,0.3,0.3,1,3,5,5,0.2962533742
5,0.22165,0.60775,3.75,9.53,7.69,10.56,0.465656649
2,0.5,0.1,1,7,3,5,0.2798398693
2,0.3,0.5,1,9,9,5,0.3044557473
2,0.5,0.3,1,9,7,5,0.2845815885
2,0.7,0.7,1,7,9,5,0.2908758119
10,0.2,0.2,4,4,4,5,0.612960926
21,0.5,0.375,7,2.8,5.5,2,0.7424207801
15,0.6,0.1,6,6,1,5,0.4950509909
2,0.9,0.5,1,7,1,5,0.3187947352
2,0.9,0.1,1,7,1,5,0.2818930957
2,0.5,0.1,1,1,5,5,0.2577068281
5,0.2,0.2,2,4,2,5,0.4839010173
2,0.7,0.7,1,3,3,5,0.3083744936
2,0.3,0.7,1,3,3,5,0.3378745401
2,0.3,0.9,1,7,7,5,0.3261944638
2,0.3,0.7,1,9,9,5,0.3142682488
2,0.7,0.3,1,7,9,5,0.2778811013
2,0.7,0.7,1,3,3,5,0.3082084424
2,0.9,0.1,1,7,7,5,0.2730176844
2,0.5,0.7,1,5,5,5,0.307988946
2,0.5,0.1,1,1,5,5,0.2592409145
2,0.3,0.9,1,7,3,5,0.3454396634
2,0.9,0.3,1,7,5,5,0.2801809331
21,0.5,0.375,6,2.8,5.5,1,0.7943703006
2,0.7,0.5,1,3,9,5,0.2806304717
2,0.3,0.5,1,5,5,5,0.3140776071
25,0.6459,0.24704,1.41,9.76,4.78,7.87,0.3868430461
10,0.64132,0.21252,1.98,2.94,1.77,4,0.1998779128
20,0.52702,0.43573,8.68,10.85,2.62,2.15,0.8639638852
2,0.7,0.1,1,5,7,5,0.2688255349
2,0.7,0.7,1,1,5,5,0.2893308993
2,0.1,0.5,1,5,7,5,0.3427114508
2,0.7,0.1,1,1,9,5,0.2544390584
2,0.1,0.3,1,5,7,5,0.3264298992
2,0.47628,0.17005,9.82,4.14,6.9,8.8,0.3145111024
2,0.5,0.5,1,3,3,5,0.3077420802
2,0.1,0.5,1,9,1,5,0.3401091544
2,0.9,0.5,1,3,7,5,0.2786747014
5,0.4,0.4,2,2,4,5,0.3359660373
25,0.7097,0.60498,7.69,8.16,9.26,6.86,0.6872260322
2,0.71236,0.31342,1.17,1.52,2.78,2,0.296868921
2,0.3,0.1,1,1,3,5,0.2705358447
2,0.7,0.5,1,1,5,5,0.2808303492
2,0.3,0.5,1,1,9,5,0.296616102
5,0.1,0.1,6,6,1,5,0.5411646967
2,0.9,0.1,1,1,3,5,0.2561406916
2,0.5,0.3,1,7,5,5,0.2888968066
2,0.5,0.7,1,5,1,5,0.3469244373
2,0.3,0.5,1,5,9,5,0.3019769457
2,0.9,0.1,1,1,5,5,0.2541340264
5,0.81506,0.41294,3.7,1.17,3.43,3,0.2430974702
2,0.3,0.1,1,7,3,5,0.2844360911
2,0.7,0.1,1,1,3,5,0.2586312672
2,0.1,0.1,1,9,3,5,0.3109364982
2,0.9,0.3,1,3,5,5,0.2737136281
10,0.6,0.6,6,1,6,5,0.1841789072
2,0.5,0.9,1,7,3,5,0.3291971176
2,0.79073,0.84228,8.7,3.44,1.11,4.16,0.3505658277
5,0.33578,0.50043,1.63,1.89,1.63,3,0.5110436433
2,0.9,0.9,1,5,5,5,0.2983338184
2,0.5,0.1,1,3,9,5,0.2644622949
20,0.19136,0.67213,2.78,3.85,4.5,3,0.9474322322
2,0.1,0.1,1,9,5,5,0.3002457015
15,0.2,0.2,4,2,4,5,0.4762958223
2,0.9,0.3,1,5,1,5,0.3026208427
2,0.1,0.9,1,5,9,5,0.3515118129
25,0.10019,0.12521,4.73,4.34,2.06,4,1.025154963
2,0.3,0.7,1,3,5,5,0.3246110837
2,0.9,0.3,1,9,1,5,0.3055764695
2,0.5,0.1,1,5,5,5,0.2715394778
2,0.3,0.3,1,3,3,5,0.3070035162
2,0.7,0.1,1,1,9,5,0.2528267006
2,0.3,0.5,1,5,1,5,0.3507745707
2,0.5,0.1,1,7,5,5,0.2765291372
2,0.9,0.1,1,1,9,5,0.2525985556
2,0.5,0.3,1,9,5,5,0.2895145482
2,0.5,0.7,1,3,1,5,0.3454287109
2,0.1,0.7,1,1,1,5,0.3304564459
2,0.5,0.9,1,5,1,5,0.351918019
2,0.7,0.3,1,3,3,5,0.2840022722
2,0.1,0.5,1,9,5,5,0.3489269048
10,0.14839,0.2431,7.96,3.71,7.62,2.04,0.795738606
2,0.3,0.9,1,5,1,5,0.3526182198
2,0.3,0.1,1,9,9,5,0.27817353
2,0.9,0.9,1,7,3,5,0.3103252818
5,0.4,0.2,2,2,4,5,0.2631503086
2,0.9,0.3,1,5,3,5,0.2833342769
5,0.72657,0.36041,2.17,1.68,1.8,3,0.2694942221
15,0.50376,0.4672,5.2,5.41,9.06,10.21,0.4611048811
2,0.7,0.5,1,1,5,5,0.282034631
2,0.1,0.1,1,7,9,5,0.2915306616
2,0.5,0.3,1,5,3,5,0.2944773045
15,0.37762,0.35932,4.94,1.15,2.87,2,0.2627360105
10,0.4,0.2,2,2,2,5,0.2736019805
2,0.1,0.1,1,7,3,5,0.3104757858
15,0.27221,0.77508,3.51,2.25,4.89,2,0.8758418811
2,0.1,0.1,1,9,7,5,0.2952749602
2,0.7,0.3,1,3,5,5,0.2775031497
2,0.5,0.7,1,5,5,5,0.3079603781
2,0.1,0.1,1,5,7,5,0.2928093143
2,0.9,0.3,1,9,3,5,0.2874217068
10,0.6,0.1,6,6,6,5,0.3440012889
5,0.1,0.1,1,1,6,5,0.1953242064
2,0.7,0.3,1,3,9,5,0.2729196693
2,0.9,0.7,1,5,3,5,0.3019069959
2,0.9,0.5,1,5,9,5,0.2806988466
2,0.5,0.3,1,9,1,5,0.3232412968
20,0.53274,0.10805,8.49,3.56,1.8,3.91,0.4955513636
15,0.2,0.4,4,2,4,5,0.7187940635
2,0.3,0.9,1,9,1,5,0.3520165117
2,0.19374,0.15478,9.02,6.9,1.55,5.33,0.3476709268
5,0.69117,0.35397,1.7,6.03,10.45,10.64,0.2816620634
2,0.9,0.1,1,1,7,5,0.253242653
2,0.5,0.1,1,3,9,5,0.2645384458
2,0.7,0.7,1,3,9,5,0.2883237054
2,0.7,0.1,1,9,3,5,0.2795187567
